fips,county_name,state_abb,state_fips,county_fips,county_ns
,Smith County,TN,47,159,1639791
,Stewart County,TN,47,161,1639792
,Sullivan County,TN,47,163,1639793
,Sumner County,TN,47,165,1639794
,Tipton County,TN,47,167,1639795
,Trousdale County,TN,47,169,1648581
,Unicoi County,TN,47,171,1648582
,Union County,TN,47,173,1648583
,Van Buren County,TN,47,175,1648584
,Warren County,TN,47,177,1639796
,Washington County,TN,47,179,1639797
,Wayne County,TN,47,181,1639798
,Weakley County,TN,47,183,1639799
,White County,TN,47,185,1639800
,Williamson County,TN,47,187,1639801
,Wilson County,TN,47,189,1639802
,Anderson County,TX,48,1,1383786
,Andrews County,TX,48,3,1383787
,Angelina County,TX,48,5,1383788
,Aransas County,TX,48,7,1383789
,Archer County,TX,48,9,1383790
,Armstrong County,TX,48,11,1383791
,Atascosa County,TX,48,13,1383792
,Austin County,TX,48,15,1383793
,Bailey County,TX,48,17,1383794
,Bandera County,TX,48,19,1383795
,Bastrop County,TX,48,21,1383796
,Baylor County,TX,48,23,1383797
,Bee County,TX,48,25,1383798
,Bell County,TX,48,27,1383799
,Bexar County,TX,48,29,1383800
,Blanco County,TX,48,31,1383801
,Borden County,TX,48,33,1383802
,Bosque County,TX,48,35,1383803
,Bowie County,TX,48,37,1383804
,Brazoria County,TX,48,39,1383805
,Brazos County,TX,48,41,1383806
,Brewster County,TX,48,43,1383807
,Briscoe County,TX,48,45,1383808
,Brooks County,TX,48,47,1383809
,Brown County,TX,48,49,1383810
,Burleson County,TX,48,51,1383811
,Burnet County,TX,48,53,1383812
,Caldwell County,TX,48,55,1383813
,Calhoun County,TX,48,57,1383814
,Callahan County,TX,48,59,1383815
,Cameron County,TX,48,61,1383816
,Camp County,TX,48,63,1383817
,Carson County,TX,48,65,1383818
,Cass County,TX,48,67,1383819
,Castro County,TX,48,69,1383820
,Chambers County,TX,48,71,1383821
,Cherokee County,TX,48,73,1383822
,Childress County,TX,48,75,1383823
,Clay County,TX,48,77,1383824
,Cochran County,TX,48,79,1383825
,Coke County,TX,48,81,1383826
,Coleman County,TX,48,83,1383827
,Collin County,TX,48,85,1383828
,Collingsworth County,TX,48,87,1383829
,Colorado County,TX,48,89,1383830
,Comal County,TX,48,91,1383831
,Comanche County,TX,48,93,1383832
,Concho County,TX,48,95,1383833
,Cooke County,TX,48,97,1383834
,Coryell County,TX,48,99,1383835
,Cottle County,TX,48,101,1383836
,Crane County,TX,48,103,1383837
,Crockett County,TX,48,105,1383838
,Crosby County,TX,48,107,1383839
,Culberson County,TX,48,109,1383840
,Dallam County,TX,48,111,1383841
,Dallas County,TX,48,113,1383842
,Dawson County,TX,48,115,1383843
,Deaf Smith County,TX,48,117,1383845
,Delta County,TX,48,119,1383846
,Denton County,TX,48,121,1383847
,DeWitt County,TX,48,123,1383844
,Dickens County,TX,48,125,1383848
,Dimmit County,TX,48,127,1383849
,Donley County,TX,48,129,1383850
,Duval County,TX,48,131,1383851
,Eastland County,TX,48,133,1383852
,Ector County,TX,48,135,1383853
,Edwards County,TX,48,137,1383854
,Ellis County,TX,48,139,1383856
,El Paso County,TX,48,141,1383855
,Erath County,TX,48,143,1383857
,Falls County,TX,48,145,1383858
,Fannin County,TX,48,147,1383859
,Fayette County,TX,48,149,1383860
,Fisher County,TX,48,151,1383861
,Floyd County,TX,48,153,1383862
,Foard County,TX,48,155,1383863
,Fort Bend County,TX,48,157,1383864
,Franklin County,TX,48,159,1383865
,Freestone County,TX,48,161,1383866
,Frio County,TX,48,163,1383867
,Gaines County,TX,48,165,1383868
,Galveston County,TX,48,167,1383869
,Garza County,TX,48,169,1383870
,Gillespie County,TX,48,171,1383871
,Glasscock County,TX,48,173,1383872
,Goliad County,TX,48,175,1383873
,Gonzales County,TX,48,177,1383874
,Gray County,TX,48,179,1383875
,Grayson County,TX,48,181,1383876
,Gregg County,TX,48,183,1383877
,Grimes County,TX,48,185,1383878
,Guadalupe County,TX,48,187,1383879
,Hale County,TX,48,189,1383880
,Hall County,TX,48,191,1383881
,Hamilton County,TX,48,193,1383882
,Hansford County,TX,48,195,1383883
,Hardeman County,TX,48,197,1383884
,Hardin County,TX,48,199,1383885
,Harris County,TX,48,201,1383886
,Harrison County,TX,48,203,1383887
,Hartley County,TX,48,205,1383888
,Haskell County,TX,48,207,1383889
,Hays County,TX,48,209,1383890
,Hemphill County,TX,48,211,1383891
,Henderson County,TX,48,213,1383892
,Hidalgo County,TX,48,215,1383893
,Hill County,TX,48,217,1383894
,Hockley County,TX,48,219,1383895
,Hood County,TX,48,221,1383896
,Hopkins County,TX,48,223,1383897
,Houston County,TX,48,225,1383898
,Howard County,TX,48,227,1383899
,Hudspeth County,TX,48,229,1383900
,Hunt County,TX,48,231,1383901
,Hutchinson County,TX,48,233,1383902
,Irion County,TX,48,235,1383903
,Jack County,TX,48,237,1383904
,Jackson County,TX,48,239,1383905
,Jasper County,TX,48,241,1383906
,Jeff Davis County,TX,48,243,1383907
,Jefferson County,TX,48,245,1383908
,Jim Hogg County,TX,48,247,1383909
,Jim Wells County,TX,48,249,1383910
,Johnson County,TX,48,251,1383911
,Jones County,TX,48,253,1383912
,Karnes County,TX,48,255,1383913
,Kaufman County,TX,48,257,1383914
,Kendall County,TX,48,259,1383915
,Kenedy County,TX,48,261,1383916
,Kent County,TX,48,263,1383917
,Kerr County,TX,48,265,1383918
,Kimble County,TX,48,267,1383919
,King County,TX,48,269,1383920
,Kinney County,TX,48,271,1383921
,Kleberg County,TX,48,273,1383922
,Knox County,TX,48,275,1383923
,Lamar County,TX,48,277,1383925
,Lamb County,TX,48,279,1383926
,Lampasas County,TX,48,281,1383927
,La Salle County,TX,48,283,1383924
,Lavaca County,TX,48,285,1383928
,Lee County,TX,48,287,1383929
,Leon County,TX,48,289,1383930
,Liberty County,TX,48,291,1383931
,Limestone County,TX,48,293,1383932
,Lipscomb County,TX,48,295,1383933
,Live Oak County,TX,48,297,1383934
,Llano County,TX,48,299,1383935
,Loving County,TX,48,301,1383936
,Lubbock County,TX,48,303,1383937
,Lynn County,TX,48,305,1383938
,McCulloch County,TX,48,307,1383945
,McLennan County,TX,48,309,1383946
,McMullen County,TX,48,311,1383947
,Madison County,TX,48,313,1383939
,Marion County,TX,48,315,1383940
,Martin County,TX,48,317,1383941
,Mason County,TX,48,319,1383942
,Matagorda County,TX,48,321,1383943
,Maverick County,TX,48,323,1383944
,Medina County,TX,48,325,1383948
,Menard County,TX,48,327,1383949
,Midland County,TX,48,329,1383950
,Milam County,TX,48,331,1383951
,Mills County,TX,48,333,1383952
,Mitchell County,TX,48,335,1383953
,Montague County,TX,48,337,1383954
,Montgomery County,TX,48,339,1383955
,Moore County,TX,48,341,1383956
,Morris County,TX,48,343,1383957
,Motley County,TX,48,345,1383958
,Nacogdoches County,TX,48,347,1383959
,Navarro County,TX,48,349,1383960
,Newton County,TX,48,351,1383961
,Nolan County,TX,48,353,1383962
,Nueces County,TX,48,355,1383963
,Ochiltree County,TX,48,357,1383964
,Oldham County,TX,48,359,1383965
,Orange County,TX,48,361,1383966
,Palo Pinto County,TX,48,363,1383967
,Panola County,TX,48,365,1383968
,Parker County,TX,48,367,1383969
,Parmer County,TX,48,369,1383970
,Pecos County,TX,48,371,1383971
,Polk County,TX,48,373,1383972
,Potter County,TX,48,375,1383973
,Presidio County,TX,48,377,1383974
,Rains County,TX,48,379,1383975
,Randall County,TX,48,381,1383976
,Reagan County,TX,48,383,1383977
,Real County,TX,48,385,1383978
,Red River County,TX,48,387,1383979
,Reeves County,TX,48,389,1383980
,Refugio County,TX,48,391,1383981
,Roberts County,TX,48,393,1383982
,Robertson County,TX,48,395,1383983
,Rockwall County,TX,48,397,1383984
,Runnels County,TX,48,399,1383985
,Rusk County,TX,48,401,1383986
,Sabine County,TX,48,403,1383987
,San Augustine County,TX,48,405,1383988
,San Jacinto County,TX,48,407,1383989
,San Patricio County,TX,48,409,1383990
,San Saba County,TX,48,411,1383991
,Schleicher County,TX,48,413,1383992
,Scurry County,TX,48,415,1383993
,Shackelford County,TX,48,417,1383994
,Shelby County,TX,48,419,1383995
,Sherman County,TX,48,421,1383996
,Smith County,TX,48,423,1383997
,Somervell County,TX,48,425,1383998
,Starr County,TX,48,427,1383999
,Stephens County,TX,48,429,1384000
,Sterling County,TX,48,431,1384001
,Stonewall County,TX,48,433,1384002
,Sutton County,TX,48,435,1384003
,Swisher County,TX,48,437,1384004
,Tarrant County,TX,48,439,1384005
,Taylor County,TX,48,441,1384006
,Terrell County,TX,48,443,1384007
,Terry County,TX,48,445,1384008
,Throckmorton County,TX,48,447,1384009
,Titus County,TX,48,449,1384010
,Tom Green County,TX,48,451,1384011
,Travis County,TX,48,453,1384012
,Trinity County,TX,48,455,1384013
,Tyler County,TX,48,457,1384014
,Upshur County,TX,48,459,1384015
,Upton County,TX,48,461,1384016
,Uvalde County,TX,48,463,1384017
,Val Verde County,TX,48,465,1384018
,Van Zandt County,TX,48,467,1384019
,Victoria County,TX,48,469,1384020
,Walker County,TX,48,471,1384021
,Waller County,TX,48,473,1384022
,Ward County,TX,48,475,1384023
,Washington County,TX,48,477,1384024
,Webb County,TX,48,479,1384025
,Wharton County,TX,48,481,1384026
,Wheeler County,TX,48,483,1384027
,Wichita County,TX,48,485,1384028
,Wilbarger County,TX,48,487,1384029
,Willacy County,TX,48,489,1384030
,Williamson County,TX,48,491,1384031
,Wilson County,TX,48,493,1384032
,Winkler County,TX,48,495,1384033
,Wise County,TX,48,497,1384034
,Wood County,TX,48,499,1384035
,Yoakum County,TX,48,501,1384036
,Young County,TX,48,503,1384037
,Zapata County,TX,48,505,1384038
,Zavala County,TX,48,507,1384039
,Beaver County,UT,49,1,1448015
,Box Elder County,UT,49,3,1455966
,Cache County,UT,49,5,1448017
,Carbon County,UT,49,7,1448018
,Daggett County,UT,49,9,1448019
,Davis County,UT,49,11,1448020
,Duchesne County,UT,49,13,1448021
,Emery County,UT,49,15,1448022
,Garfield County,UT,49,17,1448023
,Grand County,UT,49,19,1448024
,Iron County,UT,49,21,1448025
,Juab County,UT,49,23,1455158
,Kane County,UT,49,25,1448026
,Millard County,UT,49,27,1448027
,Morgan County,UT,49,29,1448028
,Piute County,UT,49,31,1448029
,Rich County,UT,49,33,1448030
,Salt Lake County,UT,49,35,1448031
,San Juan County,UT,49,37,1448032
,Sanpete County,UT,49,39,1448033
,Sevier County,UT,49,41,1448034
,Summit County,UT,49,43,1448035
,Tooele County,UT,49,45,1448036
,Uintah County,UT,49,47,1448037
,Utah County,UT,49,49,1448038
,Wasatch County,UT,49,51,1448039
,Washington County,UT,49,53,1448040
,Wayne County,UT,49,55,1448041
,Weber County,UT,49,57,1448042
,Addison County,VT,50,1,1461757
,Bennington County,VT,50,3,1461758
,Caledonia County,VT,50,5,1461759
,Chittenden County,VT,50,7,1461760
,Essex County,VT,50,9,1461761
,Franklin County,VT,50,11,1461762
,Grand Isle County,VT,50,13,1461763
,Lamoille County,VT,50,15,1461764
,Orange County,VT,50,17,1461765
,Orleans County,VT,50,19,1461766
,Rutland County,VT,50,21,1461767
,Washington County,VT,50,23,1461768
,Windham County,VT,50,25,1461769
,Windsor County,VT,50,27,1461770
,Accomack County,VA,51,1,1480091
,Albemarle County,VA,51,3,1675170
,Alleghany County,VA,51,5,1673675
,Amelia County,VA,51,7,1497770
,Amherst County,VA,51,9,1480095
,Appomattox County,VA,51,11,1497238
,Arlington County,VA,51,13,1480097
,Augusta County,VA,51,15,1480098
,Bath County,VA,51,17,1673638
,Bedford County,VA,51,19,1674818
,Bland County,VA,51,21,1494613
,Botetourt County,VA,51,23,1674418
,Brunswick County,VA,51,25,1493961
,Buchanan County,VA,51,27,1497431
,Buckingham County,VA,51,29,1501502
,Campbell County,VA,51,31,1674917
,Caroline County,VA,51,33,1480107
,Carroll County,VA,51,35,1480108
,Charles City County,VA,51,36,1480109
,Charlotte County,VA,51,37,1492442
,Chesterfield County,VA,51,41,1480111
,Clarke County,VA,51,43,1690562
,Craig County,VA,51,45,1673664
,Culpeper County,VA,51,47,1497831
,Cumberland County,VA,51,49,1494109
,Dickenson County,VA,51,51,1497376
,Dinwiddie County,VA,51,53,1690739
,Essex County,VA,51,57,1480118
,Fairfax County,VA,51,59,1480119
,Fauquier County,VA,51,61,1480120
,Floyd County,VA,51,63,1494354
,Fluvanna County,VA,51,65,1494061
,Franklin County,VA,51,67,1494434
,Frederick County,VA,51,69,1480124
,Giles County,VA,51,71,1494551
,Gloucester County,VA,51,73,1480126
,Goochland County,VA,51,75,1674271
,Grayson County,VA,51,77,1501196
,Greene County,VA,51,79,1480129
,Greensville County,VA,51,81,1501122
,Halifax County,VA,51,83,1496705
,Hanover County,VA,51,85,1480132
,Henrico County,VA,51,87,1480133
,Henry County,VA,51,89,1502770
,Highland County,VA,51,91,1673774
,Isle of Wight County,VA,51,93,1702378
,James City County,VA,51,95,1480135
,King and Queen County,VA,51,97,1480136
,King George County,VA,51,99,1480137
,King William County,VA,51,101,1480138
,Lancaster County,VA,51,103,1480139
,Lee County,VA,51,105,1496538
,Loudoun County,VA,51,107,1480141
,Louisa County,VA,51,109,1494707
,Lunenburg County,VA,51,111,1492239
,Madison County,VA,51,113,1494590
,Mathews County,VA,51,115,1480145
,Mecklenburg County,VA,51,117,1500747
,Middlesex County,VA,51,119,1480147
,Montgomery County,VA,51,121,1674630
,Nelson County,VA,51,125,1500936
,New Kent County,VA,51,127,1480150
,Northampton County,VA,51,131,1480151
,Northumberland County,VA,51,133,1480152
,Nottoway County,VA,51,135,1493928
,Orange County,VA,51,137,1494761
,Page County,VA,51,139,1500440
,Patrick County,VA,51,141,1497999
,Pittsylvania County,VA,51,143,1480157
,Powhatan County,VA,51,145,1674225
,Prince Edward County,VA,51,147,1492359
,Prince George County,VA,51,149,1480160
,Prince William County,VA,51,153,1480161
,Pulaski County,VA,51,155,1501465
,Rappahannock County,VA,51,157,1673976
,Richmond County,VA,51,159,1480164
,Roanoke County,VA,51,161,1480165
,Rockbridge County,VA,51,163,1480166
,Rockingham County,VA,51,165,1488970
,Russell County,VA,51,167,1497573
,Scott County,VA,51,169,1498172
,Shenandoah County,VA,51,171,1673918
,Smyth County,VA,51,173,1500545
,Southampton County,VA,51,175,1480171
,Spotsylvania County,VA,51,177,1480172
,Stafford County,VA,51,179,1480173
,Surry County,VA,51,181,1480174
,Sussex County,VA,51,183,1690257
,Tazewell County,VA,51,185,1497748
,Warren County,VA,51,187,1674058
,Washington County,VA,51,191,1498359
,Westmoreland County,VA,51,193,1480179
,Wise County,VA,51,195,1496656
,Wythe County,VA,51,197,1501379
,York County,VA,51,199,1480182
,Alexandria city,VA,51,510,1498415
,Bristol city,VA,51,520,1498416
,Buena Vista city,VA,51,530,1498417
,Charlottesville city,VA,51,540,1789068
,Chesapeake city,VA,51,550,1498558
,Colonial Heights city,VA,51,570,1498420
,Covington city,VA,51,580,1789069
,Danville city,VA,51,590,1498421
,Emporia city,VA,51,595,1498422
,Fairfax city,VA,51,600,1789070
,Falls Church city,VA,51,610,1498423
,Franklin city,VA,51,620,1498424
,Fredericksburg city,VA,51,630,1498425
,Galax city,VA,51,640,1498426
,Hampton city,VA,51,650,1498554
,Harrisonburg city,VA,51,660,1498563
,Hopewell city,VA,51,670,1498428
,Lexington city,VA,51,678,1789071
,Lynchburg city,VA,51,680,1498429
,Manassas city,VA,51,683,1498430
,Manassas Park city,VA,51,685,1498431
,Martinsville city,VA,51,690,1789072
,Newport News city,VA,51,700,1498555
,Norfolk city,VA,51,710,1498557
,Norton city,VA,51,720,1498434
,Petersburg city,VA,51,730,1498435
,Poquoson city,VA,51,735,1498436
,Portsmouth city,VA,51,740,1498556
,Radford city,VA,51,750,1498438
,Richmond city,VA,51,760,1789073
,Roanoke city,VA,51,770,1498439
,Salem city,VA,51,775,1789074
,Staunton city,VA,51,790,1789075
,Suffolk city,VA,51,800,1498560
,Virginia Beach city,VA,51,810,1498559
,Waynesboro city,VA,51,820,1498443
,Williamsburg city,VA,51,830,1789076
,Winchester city,VA,51,840,1789077
,Adams County,WA,53,1,1531601
,Asotin County,WA,53,3,1533502
,Benton County,WA,53,5,1513302
,Chelan County,WA,53,7,1531932
,Clallam County,WA,53,9,1531341
,Clark County,WA,53,11,1531820
,Columbia County,WA,53,13,1513273
,Cowlitz County,WA,53,15,1529156
,Douglas County,WA,53,17,1531818
,Ferry County,WA,53,19,1531821
,Franklin County,WA,53,21,1531822
,Garfield County,WA,53,23,1533500
,Grant County,WA,53,25,1531924
,Grays Harbor County,WA,53,27,1531823
,Island County,WA,53,29,1513272
,Jefferson County,WA,53,31,1531936
,King County,WA,53,33,1531933
,Kitsap County,WA,53,35,1529223
,Kittitas County,WA,53,37,1531926
,Klickitat County,WA,53,39,1529219
,Lewis County,WA,53,41,1531927
,Lincoln County,WA,53,43,1514052
,Mason County,WA,53,45,1529221
,Okanogan County,WA,53,47,1531928
,Pacific County,WA,53,49,1513274
,Pend Oreille County,WA,53,51,1529157
,Pierce County,WA,53,53,1529159
,San Juan County,WA,53,55,1531931
,Skagit County,WA,53,57,1531402
,Skamania County,WA,53,59,1529220
,Snohomish County,WA,53,61,1529222
,Spokane County,WA,53,63,1529225
,Stevens County,WA,53,65,1531930
,Thurston County,WA,53,67,1529226
,Wahkiakum County,WA,53,69,1513275
,Walla Walla County,WA,53,71,1531819
,Whatcom County,WA,53,73,1529224
,Whitman County,WA,53,75,1533501
,Yakima County,WA,53,77,1531929
,Barbour County,WV,54,1,1696996
,Berkeley County,WV,54,3,1550008
,Boone County,WV,54,5,1550009
,Braxton County,WV,54,7,1550010
,Brooke County,WV,54,9,1558262
,Cabell County,WV,54,11,1550012
,Calhoun County,WV,54,13,1696945
,Clay County,WV,54,15,1550014
,Doddridge County,WV,54,17,1689476
,Fayette County,WV,54,19,1560095
,Gilmer County,WV,54,21,1689673
,Grant County,WV,54,23,1697238
,Greenbrier County,WV,54,25,1557518
,Hampshire County,WV,54,27,1718644
,Hancock County,WV,54,29,1560574
,Hardy County,WV,54,31,1718557
,Harrison County,WV,54,33,1718426
,Jackson County,WV,54,35,1559963
,Jefferson County,WV,54,37,1550025
,Kanawha County,WV,54,39,1550026
,Lewis County,WV,54,41,1550027
,Lincoln County,WV,54,43,1550028
,Logan County,WV,54,45,1550029
,McDowell County,WV,54,47,1689162
,Marion County,WV,54,49,1718173
,Marshall County,WV,54,51,1717539
,Mason County,WV,54,53,1560254
,Mercer County,WV,54,55,1557645
,Mineral County,WV,54,57,1717890
,Mingo County,WV,54,59,1550036
,Monongalia County,WV,54,61,1550037
,Monroe County,WV,54,63,1557702
,Morgan County,WV,54,65,1557950
,Nicholas County,WV,54,67,1550040
,Ohio County,WV,54,69,1717163
,Pendleton County,WV,54,71,1550042
,Pleasants County,WV,54,73,1678557
,Pocahontas County,WV,54,75,1550044
,Preston County,WV,54,77,1558642
,Putnam County,WV,54,79,1550046
,Raleigh County,WV,54,81,1550047
,Randolph County,WV,54,83,1550048
,Ritchie County,WV,54,85,1689049
,Roane County,WV,54,87,1550050
,Summers County,WV,54,89,1557805
,Taylor County,WV,54,91,1689856
,Tucker County,WV,54,93,1689423
,Tyler County,WV,54,95,1678706
,Upshur County,WV,54,97,1696800
,Wayne County,WV,54,99,1550056
,Webster County,WV,54,101,1550057
,Wetzel County,WV,54,103,1717836
,Wirt County,WV,54,105,1678877
,Wood County,WV,54,107,1560558
,Wyoming County,WV,54,109,1550061
,Adams County,WI,55,1,1581060
,Ashland County,WI,55,3,1581061
,Barron County,WI,55,5,1581062
,Bayfield County,WI,55,7,1581063
,Brown County,WI,55,9,1581064
,Buffalo County,WI,55,11,1581065
,Burnett County,WI,55,13,1581066
,Calumet County,WI,55,15,1581067
,Chippewa County,WI,55,17,1581068
,Clark County,WI,55,19,1581069
,Columbia County,WI,55,21,1581070
,Crawford County,WI,55,23,1581071
,Dane County,WI,55,25,1581072
,Dodge County,WI,55,27,1581073
,Door County,WI,55,29,1581074
,Douglas County,WI,55,31,1581075
,Dunn County,WI,55,33,1581076
,Eau Claire County,WI,55,35,1581077
,Florence County,WI,55,37,1581078
,Fond du Lac County,WI,55,39,1581079
,Forest County,WI,55,41,1581080
,Grant County,WI,55,43,1581081
,Green County,WI,55,45,1581082
,Green Lake County,WI,55,47,1581083
,Iowa County,WI,55,49,1581084
,Iron County,WI,55,51,1581085
,Jackson County,WI,55,53,1581086
,Jefferson County,WI,55,55,1581087
,Juneau County,WI,55,57,1581088
,Kenosha County,WI,55,59,1581089
,Kewaunee County,WI,55,61,1581090
,La Crosse County,WI,55,63,1581091
,Lafayette County,WI,55,65,1581092
,Langlade County,WI,55,67,1581093
,Lincoln County,WI,55,69,1581094
,Manitowoc County,WI,55,71,1581095
,Marathon County,WI,55,73,1581096
,Marinette County,WI,55,75,1581097
,Marquette County,WI,55,77,1581098
,Menominee County,WI,55,78,1581099
,Milwaukee County,WI,55,79,1581100
,Monroe County,WI,55,81,1581101
,Oconto County,WI,55,83,1581102
,Oneida County,WI,55,85,1581103
,Outagamie County,WI,55,87,1581104
,Ozaukee County,WI,55,89,1581105
,Pepin County,WI,55,91,1581106
,Pierce County,WI,55,93,1581107
,Polk County,WI,55,95,1581108
,Portage County,WI,55,97,1581109
,Price County,WI,55,99,1581110
,Racine County,WI,55,101,1581111
,Richland County,WI,55,103,1581112
,Rock County,WI,55,105,1581113
,Rusk County,WI,55,107,1581114
,St. Croix County,WI,55,109,1581833
,Sauk County,WI,55,111,1581115
,Sawyer County,WI,55,113,1581116
,Shawano County,WI,55,115,1581117
,Sheboygan County,WI,55,117,1581118
,Taylor County,WI,55,119,1581119
,Trempealeau County,WI,55,121,1581120
,Vernon County,WI,55,123,1581121
,Vilas County,WI,55,125,1581122
,Walworth County,WI,55,127,1581123
,Washburn County,WI,55,129,1581124
,Washington County,WI,55,131,1581125
,Waukesha County,WI,55,133,1581126
,Waupaca County,WI,55,135,1581127
,Waushara County,WI,55,137,1581128
,Winnebago County,WI,55,139,1581129
,Wood County,WI,55,141,1581130
,Albany County,WY,56,1,1605066
,Big Horn County,WY,56,3,1605067
,Campbell County,WY,56,5,1605068
,Carbon County,WY,56,7,1605069
,Converse County,WY,56,9,1605070
,Crook County,WY,56,11,1605071
,Fremont County,WY,56,13,1605072
,Goshen County,WY,56,15,1605073
,Hot Springs County,WY,56,17,1605074
,Johnson County,WY,56,19,1609191
,Laramie County,WY,56,21,1605075
,Lincoln County,WY,56,23,1605076
,Natrona County,WY,56,25,1605077
,Niobrara County,WY,56,27,1605078
,Park County,WY,56,29,1605079
,Platte County,WY,56,31,1605080
,Sheridan County,WY,56,33,1605081
,Sublette County,WY,56,35,1605082
,Sweetwater County,WY,56,37,1609192
,Teton County,WY,56,39,1605083
,Uinta County,WY,56,41,1605084
,Washakie County,WY,56,43,1605085
,Weston County,WY,56,45,1605086
,Eastern District,AS,60,10,1805240
,Manu'a District,AS,60,20,1805242
,Rose Island,AS,60,30,1805243
,Swains Island,AS,60,40,1805244
,Western District,AS,60,50,1805241
,Guam,GU,66,10,1802705
,Northern Islands Municipality,MP,69,85,1805245
,Rota Municipality,MP,69,100,1805246
,Saipan Municipality,MP,69,110,1805247
,Tinian Municipality,MP,69,120,1805248
,Adjuntas Municipio,PR,72,1,1804480
,Aguada Municipio,PR,72,3,1804481
,Aguadilla Municipio,PR,72,5,1804482
,Aguas Buenas Municipio,PR,72,7,1804483
,Aibonito Municipio,PR,72,9,1804484
,Añasco Municipio,PR,72,11,1804485
,Arecibo Municipio,PR,72,13,1804486
,Arroyo Municipio,PR,72,15,1804487
,Barceloneta Municipio,PR,72,17,1804488
,Barranquitas Municipio,PR,72,19,1804489
,Bayamón Municipio,PR,72,21,1804490
,Cabo Rojo Municipio,PR,72,23,1804491
,Caguas Municipio,PR,72,25,1804492
,Camuy Municipio,PR,72,27,1804493
,Canóvanas Municipio,PR,72,29,1804494
,Carolina Municipio,PR,72,31,1804495
,Cataño Municipio,PR,72,33,1804496
,Cayey Municipio,PR,72,35,1804497
,Ceiba Municipio,PR,72,37,1804498
,Ciales Municipio,PR,72,39,1804499
,Cidra Municipio,PR,72,41,1804500
,Coamo Municipio,PR,72,43,1804501
,Comerío Municipio,PR,72,45,1804502
,Corozal Municipio,PR,72,47,1804503
,Culebra Municipio,PR,72,49,1804504
,Dorado Municipio,PR,72,51,1804505
,Fajardo Municipio,PR,72,53,1804506
,Florida Municipio,PR,72,54,1804507
,Guánica Municipio,PR,72,55,1804508
,Guayama Municipio,PR,72,57,1804509
,Guayanilla Municipio,PR,72,59,1804510
,Guaynabo Municipio,PR,72,61,1804511
,Gurabo Municipio,PR,72,63,1804512
,Hatillo Municipio,PR,72,65,1804513
,Hormigueros Municipio,PR,72,67,1804514
,Humacao Municipio,PR,72,69,1804515
,Isabela Municipio,PR,72,71,1804516
,Jayuya Municipio,PR,72,73,1804517
,Juana Díaz Municipio,PR,72,75,1804518
,Juncos Municipio,PR,72,77,1804519
,Lajas Municipio,PR,72,79,1804520
,Lares Municipio,PR,72,81,1804521
,Las Marías Municipio,PR,72,83,1804522
,Las Piedras Municipio,PR,72,85,1804523
,Loíza Municipio,PR,72,87,1804524
,Luquillo Municipio,PR,72,89,1804525
,Manatí Municipio,PR,72,91,1804526
,Maricao Municipio,PR,72,93,1804527
,Maunabo Municipio,PR,72,95,1804528
,Mayagüez Municipio,PR,72,97,1804529
,Moca Municipio,PR,72,99,1804530
,Morovis Municipio,PR,72,101,1804531
,Naguabo Municipio,PR,72,103,1804532
,Naranjito Municipio,PR,72,105,1804533
,Orocovis Municipio,PR,72,107,1804534
,Patillas Municipio,PR,72,109,1804535
,Peñuelas Municipio,PR,72,111,1804536
,Ponce Municipio,PR,72,113,1804537
,Quebradillas Municipio,PR,72,115,1804538
,Rincón Municipio,PR,72,117,1804539
,Río Grande Municipio,PR,72,119,1804540
,Sabana Grande Municipio,PR,72,121,1804541
,Salinas Municipio,PR,72,123,1804542
,San Germán Municipio,PR,72,125,1804543
,San Juan Municipio,PR,72,127,1804544
,San Lorenzo Municipio,PR,72,129,1804545
,San Sebastián Municipio,PR,72,131,1804546
,Santa Isabel Municipio,PR,72,133,1804547
,Toa Alta Municipio,PR,72,135,1804548
,Toa Baja Municipio,PR,72,137,1804549
,Trujillo Alto Municipio,PR,72,139,1804550
,Utuado Municipio,PR,72,141,1804551
,Vega Alta Municipio,PR,72,143,1804552
,Vega Baja Municipio,PR,72,145,1804553
,Vieques Municipio,PR,72,147,1804554
,Villalba Municipio,PR,72,149,1804555
,Yabucoa Municipio,PR,72,151,1804556
,Yauco Municipio,PR,72,153,1804557
,Midway Islands,UM,74,300,1802699
,St. Croix Island,VI,78,10,2378248
,St. John Island,VI,78,20,2378249
,St. Thomas Island,VI,78,30,2378250
